element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
275,5,9,12,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,9,3,46,75.0,0.0,0.0,7.5,1,0.00,0.00,0.00,2.73,45,0,585760,0,0,Bernd Leno,Leno,GKP
275,13,4,2,TRUE,2023-08-19T14:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,5,0,19,41.4,0.0,0.0,4.1,1,0.00,0.00,0.00,3.80,45,114735,871896,134998,20263,Bernd Leno,Leno,GKP
275,21,1,5,FALSE,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,8,2,27,60.4,0.0,0.0,6.0,1,0.00,0.00,0.00,3.25,45,14385,926182,75968,61583,Bernd Leno,Leno,GKP
275,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,5,0,0,0,0,0,0,0,10,4.6,0.0,0.0,0.5,1,0.00,0.00,0.00,2.26,45,69108,1032846,115350,46242,Bernd Leno,Leno,GKP
276,5,9,3,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,15,8.0,12.1,1.0,2.1,1,0.02,0.01,0.03,2.73,45,0,25104,0,0,Saša Lukić,Lukić,MID
276,13,4,2,TRUE,2023-08-19T14:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,14,11.0,18.3,4.0,3.3,1,0.00,0.05,0.05,3.80,45,26374,72725,35175,8801,Saša Lukić,Lukić,MID
276,21,1,1,FALSE,2023-08-26T14:00:00Z,2,2,3,70,0,0,0,1,0,0,0,1,0,0,0,2,1.6,0.5,4.0,0.6,1,0.02,0.00,0.02,2.32,45,-3930,68209,8399,12329,Saša Lukić,Lukić,MID
276,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-9961,58765,2709,12670,Saša Lukić,Lukić,MID
277,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,48889,0,0,Kevin Mbabu,Mbabu,DEF
277,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2312,51802,2062,4374,Kevin Mbabu,Mbabu,DEF
